start_time_sec,end_time_sec,annotation
2.799,3.399,Hej
4.099,5.5,Vår sista dilemma
5.799,8.4,Handlar om DNAtestning
9.0,10.3,Och i det kan det
10.8,11.5,Ett
11.699,13.3,I centret handlar det om
13.8,15.599,Det hade varit uppgiven på en dejt
15.8,21.1,Men den som föder ut dig vill att du ska göra ett DNAtest
21.3,24.0,Som kan visa till exempel om du har
24.3,27.3,En hög risk för psykiska sjukdomar
27.5,29.0,Eller andra problem
29.399,33.299,Frågan är om man borde gå med på det här eller inte
35.899,40.2,Jag tycker det är en svårare fråga än de som vi diskuterat tidigare
40.399,44.299,För att det här är betydligt mer spekulativt
44.7,47.299,Och dagens DNAtestning
47.5,51.799,Inte tillräckligt exakt tillräckligt bra för att kunna veta det här
52.2,56.299,Men i framtiden är det definitivt möjligt att det skulle vara
57.2,59.1,Att det skulle vara praktiskt genomförbart
60.6,64.799,Jag tror att det här skulle kunna vara ett rimligt förslag
65.2,66.299,Eftersom
67.4,72.9,Speciellt om man vill dejta någon seriöst och bygga ett liv tillsammans med dem
73.2,74.2,Så
74.599,78.7,Det var viktigt att veta vad de har för egenskaper
79.2,79.599,Och
79.9,83.0,Man kanske inte riktigt är redo att
83.2,88.599,Ta sig ansvaret för en partner som har psykiska problem och liknande
90.2,93.0,Samtidigt så kan gentestning
93.299,96.099,Bara avsäga statistiska risker
96.4,99.0,Och man kan aldrig veta säkert
99.2,103.2,Om just den här personen kommer drabbas av någonting eller inte
108.599,111.599,Sen också att det kan vara en stor skillnad
111.9,115.599,Och om man planerar att skaffa barn tillsammans
116.0,118.5,För att då kan gentestning
118.799,120.2,användas för att
120.4,124.9,avsega potentiella problem potentiella ärftliga sjukdomar
125.2,126.7,Som skulle kunna uppstå
127.099,129.4,Och genom att testa för det
129.699,136.199,På så hör hand så kan man undvika att sprida vidare de med sjukdomar till sina barn
136.5,138.8,och på så sätt undvika
139.099,140.199,väldigt mycket
140.4,143.699,Lidande för just din familj
144.0,147.8,Men också spara pengar för samhället i stort
148.4,151.5,Genom att minska belastningen på sjukvården
152.599,155.599,Så jag tror att det här skulle kunna vara ett bra förslag
155.9,160.0,Men det beror väldigt mycket på hur det genomförs rent praktiskt
165.199,166.4,Sen är det
167.0,169.599,Skulle det också kunna vara kontroversiellt
170.0,171.099,Eftersom
171.5,176.0,Många människor känner att det är väldigt integritetskränkande
176.3,178.8,Att genomföra liknande testning
179.3,182.699,Och att det skulle också kunna leda till
183.199,185.8,Men olika slags sociala problem
186.099,189.3,Om människor som känner att de
189.5,190.4,Mår bra
190.599,195.599,Som själva aldrig har gjort någonting fel i livet för att förtjäna det
195.9,198.0,ändå blir bortvalda
198.199,204.4,På grund av att gentestning som de indirekt kan få verkar kontrollera
204.599,208.5,har visat att de har höjd risk för vissa problem
212.4,214.9,Det skulle kunna vara ett problem
