start_time_sec,end_time_sec,annotation
2.899,3.299,Nej
10.4,12.3,Då handlar det om
12.599,16.399,Är det rätt att utföra gentest
16.6,17.3,för
17.8,23.899,När man dejtar någon för att se om denna är osagd för psykiska sjukdomar
24.8,26.3,Alla är på fysiska
26.6,30.699,Och de etiska dilemman som finns där i
32.5,32.799,Ja
33.0,34.0,Har vi någon åsikt
46.0,50.299,Jo det tycker jag Jag tycker att liksom
50.799,56.6,Kärlek ska handla om den unika kemi man har tillsammans och vad man kan bygga upp
57.7,58.5,Eh
58.899,64.4,och inte om så pass cyniska faktorer som gener
65.4,66.0,Eh
66.299,69.099,Men samtidigt så kan jag tycka att det är lite
69.9,74.099,Det finns vissa sjukdomar som är såpass
75.099,75.599,Eh
76.599,78.5,Oläks borrande eller förödande
78.7,81.599,Att det kan ha stor påverkan på hans framtid
85.2,86.5,Blodprover
86.7,93.5,Om man har anlag för Huntingtons demens eller svår schizofreni någonting
94.2,97.099,Då finns det stor risk att
98.0,103.599,förhållandena inte håller i längden därför att där man dejtar får för stora problem
104.799,106.5,Nej men
107.7,109.4,Å andra sidan så tycker jag att
110.4,112.799,Jag vill inte leva i ett samhälle där man
113.4,115.599,såpass
116.299,117.599,Ytterligare faktaorer
118.5,119.299,för att
120.4,123.599,Det är liksom inget sånt som man kan styra över
124.9,125.599,Eh
126.0,131.4,Det är inte heller så att man måste bli sjuk
132.0,132.8,Och jag tror
133.5,134.9,Står det även att
135.5,137.4,Det kan leda till en slags
139.0,139.4,Vad tänker du
139.699,145.9,Perfektionismen att man hela tiden vill ha de bästa generna och att det leder till ett tänk
146.8,150.0,Slippery slopetänk där
150.3,152.9,Man börjar fokusera för mycket på
153.4,154.8,Liksom biologi och
155.0,156.0,på
156.9,162.199,Någon slags idealbild av vem man vill vara med istället för att lära känna den personen
162.599,163.699,Se deras brister
179.699,180.199,Ja
180.4,181.5,Precis
181.8,184.0,Och det tänkte med att
184.599,188.199,Det kan vara bra för moralen i samhället
189.099,193.9,också vara mer tillåtande mot människor som har de anlagen
194.8,197.4,För att lära er mycket om
198.199,201.199,Om empati och hur man ska förhålla sig till andra människor
