start_time_sec,end_time_sec,annotation
1.2,2.1,hallå hallå
3.7,6.9,eh ja nu blev du du blev avbruten igen det var ju
7.3,9.0,dåligt samvete här för ja jag vet inte
10.9,13.0,det är inte mitt fel det är det är sant
13.3,16.5,ja sista sista ämnet det var chip
17.3,19.1,eh mellan eh
19.3,19.8,eh
20.5,23.6,i huden mellan eh eh tummen och pekfingret
24.3,28.3,eh så skulle man få ett eh möjligheten att få ett litet litet chip
28.8,31.1,typ som ett riskorn och eh
31.9,36.6,eh det här chippet skulle då ersätta typ bankkort och busskort och
37.6,39.2,eh ja vad det nu kunde vara
39.6,40.3,eh
41.2,44.9,och eh frågan är alltså ja skulle man eh
45.2,45.8,skulle man eh
47.0,49.4,eh ja få det implanterat
49.7,50.2,i sig?
50.9,52.9,eh finns det några
53.9,57.0,problematiska aspekter att tänka på där eller så? ja
58.9,61.8,men eh ja nej jag vet inte vad vad tänker du?
69.7,70.1,ja
86.7,87.5,ja ja
98.0,98.3,mhm
105.3,105.8,ja
109.5,114.2,eh nej just det det har du ju helt rätt i då går man miste om eh
114.8,116.9,den möjligheten liksom nej men det
122.3,124.1,eh just det ja
124.6,126.0,nej men eh
126.6,131.6,jag vet inte jag jag kände ändå rent spontant att jag ställde mig liksom försiktigt positiv till det men sedan
132.3,136.0,när du sade också att såhär ja hur mycket användning har man för det det är ju
136.9,138.1,lite det eh
138.3,139.2,det har du ju
139.7,144.3,ja nej men jag vet inte hur jobbigt det är egentligen att gå runt med bankkort och busskort liksom men eh
145.5,148.1,så mycket plats tar de liksom inte men eh
148.7,151.8,på ett sätt kanske det hade varit smidigt och det är säkert någon
152.3,155.3,sådan framtid man rör sig mot eller något men ehm
156.5,160.1,om man eh bara kunde blippa handen liksom men sedan eh
161.4,164.1,ja jag vet inte sedan så skulle det väl säkert komma
165.0,170.7,eh man har inte man skulle höra om folk som blir rånade och får handen avskuren typ eller något sådant där och då
171.7,173.7,eh någon som vill ha
174.0,175.1,kunna eh
175.6,178.2,komma åt ens pengar och eller var det nu är men eh
179.5,182.4,eller annan information som ligger i det där chippet liksom
184.2,189.8,men eh ja nej jag vet inte spontant nu så känns det inte som att det är jättemycket
190.7,191.8,villning i
192.0,194.2,i det jämfört med att bara gå runt med
194.4,196.0,ett par tunna kort liksom
199.4,201.7,men eh ja nej jag vet inte vad eh
202.4,203.6,tror du det ser du någon
203.9,207.5,chans att du hade skaffat ett sådant om det fanns tillräckligt mycket
208.8,209.7,eh
210.0,212.6,positiva sidor av det liksom? eller eh
217.7,218.1,nej
220.4,221.0,mhm
225.6,226.0,ja
236.9,237.3,nej
237.7,244.6,säg om eh säg om det skulle hålla koll på alla dina liksom hälsovärden och så där så den ser direkt om du
245.5,249.2,börjar bli ens lite sjuk eller å nu har jag
249.7,251.5,den håller koll på om eh
251.7,253.4,några cancerceller
254.0,256.0,eh men dyker upp någon
256.2,257.6,någonstans i stortån liksom
258.4,259.3,eh
260.3,261.9,hade det varit lockande?
281.2,281.7,eh
287.5,288.1,ja
294.9,295.5,ja
300.7,301.1,ja
305.0,305.4,ja
308.8,309.8,ja absolut
315.5,316.0,mhm
321.6,322.0,mhm
337.8,339.0,ja men visst visst
339.5,344.0,ja men det är jo en en sårbarhet i det också verkligen när det är bara
344.5,346.9,om allting ligger öppet men liksom med digital
347.4,349.1,attack då är det ju
350.3,353.7,på ett sätt liksom säkrad av fysiska handlingar liksom
354.0,354.9,eh
356.1,360.3,men eh ja nej jag vet inte jag jag tänker nog att om det
361.4,367.7,ja jag vet inte hur mycket man hade kunnat garantera liksom säkerheten och det är någonting integritetsaspekt som du säger också att om
368.4,371.6,antingen staten eller något företag sitter liksom på all din
372.7,376.4,eh information om det är för mycket som finns i det där chippet liksom
377.5,378.2,eh
379.0,382.3,så det finns väl massa grejer som borde vara farligt med det också men eh
382.8,385.9,ja om det finns tillräckligt mycket praktiska
386.8,388.4,eh fördelar med det så
388.8,389.6,hade det varit
390.2,392.9,svårt att säga nej tror jag eh
394.3,397.8,speciellt om ingreppet liksom är förhållandevis litet då liksom
398.2,399.1,eh
401.2,403.1,men eh ja nej det det
403.6,407.1,knepigt det där känns ju inte helt orealistiskt heller att det skulle kunna
407.7,409.4,hända liksom eller gå åt det man
410.3,414.5,känns som att det har varit ett snack om såhär chipp på olika sätt i
415.6,417.6,i sådana här som man skulle kunna få
418.0,419.2,implanterat liksom men
419.7,422.8,det kanske redan finns ett par människor men jag har för mig att jag såg någon i
423.1,424.9,nyhetsmorgon typ som hade
425.5,429.1,ett chipp fast det var nog för ett par år sedan och jag vet inte hur användbart det var liksom men eh
430.0,430.6,eh
431.9,433.7,hade fått något sådant inopererat liksom
449.6,451.7,ja nej man vill inte vara den enda
452.0,454.7,den enda chippade vännen liksom nej eller något sådant där nej
458.4,459.8,nej exakt exakt ja
463.1,464.5,ja nej det är
465.5,466.7,verkligen eller ja
467.0,468.3,känns lite
469.5,474.5,knepigt knepigt eller men det jag vet inte hur långt ifrån den skulle vara heller liksom men det
475.7,476.3,eh
477.5,478.3,det är
478.5,479.4,ja det är
480.4,486.2,det är väl också såhär ja men om det är spårbart det där chippet liksom att då är det ju kanske är så att folk eh
486.8,488.0,har koll på en var
488.9,490.0,ja kan ens
490.7,491.6,ja om eh
492.3,497.4,den har någon sådan funktion liksom och så om du säger om du säger någonting jag menar någon främmande makt parkerar där och
497.7,503.3,plötsligt så har dom koll på vart precis varenda människa är liksom exakt var de är hela tiden typ
504.2,505.8,det känns ju
506.4,507.7,eh farligt spontant
508.0,508.9,och inte så bra
515.7,516.2,ja
529.0,529.5,ja
534.0,535.9,ja ja men exakt exakt
537.1,540.2,eh och ja nej det eh
541.2,546.2,eh blir väl verkligen inte bra på det det stora och det lilla liksom för eh
547.1,550.5,man kanske inte vill veta eller man vill inte att någon ska veta
551.2,554.7,vart man var i förrigår liksom av något personliga privata skäl men
555.0,557.4,det kan också vara liksom att eh om eh
558.3,563.4,jag vet inte någon eh terroristorganisation vet vart alla våra ministrar är liksom vad gäller
564.4,567.8,eller sådär ja har man lyckats eh hacka de där chippen så är det
568.5,570.6,plötsligt jätte jättefarligt liksom
570.8,571.4,över eh
573.3,575.2,eh eller bara att de känner till
575.7,577.9,och kanske inte ens vet var någons
578.8,581.9,eh men var någon är någonstans exakt men de kanske eh
582.4,585.2,får annan information från det där chippet och vet att ja eller men
585.6,589.5,den här politikern är nötallergiker liksom eller någonting alltså ja
590.8,591.4,eh nej
591.7,593.5,det kan det ge dem med någon
594.4,595.5,någon typ av eh
596.6,598.3,sårbar liksom information på
598.73,599.62,på det hållet så att
