start_time_sec,end_time_sec,annotation
1.5,2.2,hej igen
5.2,7.6,det går bra ska jag berätta om andra
7.9,8.9,eh ämnet?
10.5,15.7,så det handlar om eh om man ska ha eller inte robot domare
16.3,19.6,eh som ska sitta med på domen och bestämma
20.2,21.3,om eh brott
22.1,23.9,eh eftersom eh
26.1,30.4,eh robotar kan ju inte vara rasister eller eh
31.3,31.9,ehm
32.4,33.8,nazister eller eh
34.0,35.3,de bryr sig ju inte
36.2,43.0,men eh då kommer det ju väldigt mycket tyngd på vem som programmerar och skriver eh algoritmer för roboten
44.9,46.9,så eh vad tycker du så där är det?
75.0,77.9,alltså jag håller med de har redan gjort ett försök i usa
78.5,84.2,problemet var att eh så snabbt robot alltså det var på ai det var ingen robot
85.2,88.1,man säger ju robot men det är ju bara en ai
88.8,94.7,så varje gång det alltså det fanns ju en mycket större sannolikhet att om människan var svart så skulle den hamna i fängelse
95.8,100.9,och det är ju för att den här ain är ju tränad på amerikansk data
101.3,104.2,och eh genom tiderna har det ju varit så
105.5,106.2,att
106.5,109.0,eh de svarta blir ju mer eh
110.5,111.6,eh straffade
112.2,117.2,så det är ju ganska stor eh på vilken data man tränar dem och det är ju inte
118.5,123.8,det det blev ju ganska stor skandal för att de sa ju ai är ingen rasist men det är ju inte
124.2,127.4,ain som är rasist det är ju datan egentligen
144.1,144.8,ja
145.8,150.3,och det är ju egentligen en lite
150.8,152.2,svår fråga
152.7,154.9,vem är det som är värd att bestämma
155.4,157.1,vad som är rätt eller fel liksom?
159.9,165.3,men eh det finns en eh stat jag undrar om det inte är just Iran som eh
166.0,169.9,har eh valt att ha en ai som sitter med dem i parlamentet
170.6,173.4,och hjälper dem ja och hjälper dem ta
173.8,175.0,välja saker
178.9,179.5,alltså
180.7,183.4,den är typ där som en konsult ändå varje gång de ska
183.7,186.7,bestämma någonting så frågar de den vad den tycker och
187.4,188.5,så får den säga
189.5,192.3,jag tycker att det är lite häftigt och spännande för att
194.0,196.7,ja det är ju en ganska neutral eh
198.2,198.8,åsikt
200.2,203.4,om den nu har varit tränad på neutral data
205.7,208.1,och det är också en eh
209.7,213.7,en åsikt som inte kommer vara biased från eh
214.6,217.3,om den har lyssnat på någon som har pratat
218.1,219.5,på väldigt eh
219.8,224.1,det finns ju de som är jättebra på att prata men kanske inte har så mycket att säga egentligen
226.1,229.0,men kan övertala folk enkelt liksom
230.8,233.3,och det kommer den här ain inte gå på
242.0,248.3,alltså det är en typ av ChatGPT det finns jättemånga olika ChatGPT fast de heter inte ChatGPT det är bara
248.5,250.0,open ai som har den
251.3,255.3,och det är några som är mycket bättre än ChatGPT också
256.2,260.9,eh det är bara att den här den som är mest känd och det är den som eh allmänheten kan använda
261.4,268.1,men eh det finns många sådana där som eh man säljer till företag och de tränar de på sin egen data liksom
269.7,272.1,ChatGPT ät ju tränad på googles data
277.4,277.9,ja
278.1,279.5,alltså jättemånga har det
280.8,284.0,den bästa just nu är en eh fransk som heter Mistral
284.6,286.9,men den går inte att använda
287.2,288.4,för allmänheten
293.0,293.6,ursäkta
296.4,300.2,alltså det är Mistral företaget som har kodat den
300.6,304.1,men eh man kan andra företaget kan ju
304.4,307.5,eh köpa eller ladda ner rådatan
307.9,309.9,och sedan träna den på sin egen
310.1,311.5,på sin egen eh
312.5,313.5,data liksom
313.9,317.5,för att få svar mer specialiserade inom det de vill ha
321.7,322.9,Mistral är
323.5,324.0,alltså
324.3,325.1,de har ehm
326.0,327.1,de har bara
328.3,328.5,typ
329.0,330.4,börjat med det här och
334.3,334.5,ja
340.4,341.9,nej inte alls de har eh
342.1,343.4,det är deras grej
347.8,348.4,ja
351.0,354.1,den är bäst för att eh det går att
354.3,355.0,ehm
356.8,358.0,få den att
359.5,362.2,att få svar som är mest
363.0,366.2,eh relevanta med datan man ger den
366.6,371.0,och den kan träna på väldigt lite space liksom
372.7,372.9,och
373.2,376.1,eh behöver inte jättemycket energi för att
376.7,377.4,träna
378.4,381.1,så den är mer effektiv liksom
382.9,389.2,och ChatGPT eh har blivit sämre för att folk har klagat på att man kunde
389.5,394.2,fråga ganska mycket saker och att den inte hade något filter
395.1,398.5,så att du kunde ju säga till den okej eh
398.9,401.1,eh säg till mig hur man ska
401.7,403.7,jag vet inte hacka någonting liksom
404.9,407.1,och man kunde få den att säga lite vad som helst
407.8,409.3,så eftersom folk
409.5,411.1,har varit lite
411.3,415.0,chockerade av det har de gjort ChatGPT mer politiskt korrekt
415.7,422.2,så nu är det massa saker den inte kan säga den måste alltid säga på ett visst sätt så att folk inte ska ta illa upp liksom
422.7,424.9,och det har gjort att den har blivit mindre
425.2,426.3,effektiv också
433.7,435.3,nej för att den inte
435.6,437.9,först är den inte gjord för allmänheten
438.1,439.0,så eh
439.6,442.0,du väljer vad du vill att den ska träna på
443.3,446.3,och sedan tror jag att en stor del är också att den inte är amerikansk
446.8,447.6,och eh
448.0,451.5,det är ju en stor grej att vara politiskt korrekt i usa liksom
453.4,453.9,ja
454.9,459.2,så om vi ska komma tillbaks till den där eh domar eh ain
461.4,464.9,så är det ju också en fråga om vad man vill
465.2,467.9,typ politisk korrekt man vill att den ska vara kanske
478.4,478.9,ja
479.9,483.6,men eh ja igen vem är det som väljer vad som är rätt och fel
486.3,486.5,ja
492.2,492.7,ja
493.1,496.0,men vem är det som bestämmer vem som är skyldig eller inte?
497.7,499.1,det finns ju eh
499.3,501.4,det är ju därför man har så många
501.7,506.0,domare och allting det är för att det är svårt att faktiskt bestämma
507.1,512.2,det händer att saker är lagligt fel men det känns fel att säga att dem att det är det eller?
514.9,516.8,men till exempel eh
517.2,521.7,eh i frankrike om eh det kommer in en rånare i ditt hus
522.3,525.1,och du skyddar dig genom att slå den där eh
525.7,526.5,personen
526.9,529.4,då kan den här personen stämma dig
530.1,533.9,och eh du kommer förlora för att du
534.9,537.0,använde våld mot den här människan liksom
537.7,540.2,fast det egentligen är den här människan som eh
540.7,542.0,bröt sig in i ditt hus
543.9,544.5,så
545.1,549.0,det är lagligt fel av dig att använda våld men samtidigt
549.4,551.6,så är det ju jätteläskigt att man kommer in
553.7,555.7,vad är det som är rätt och vad är det som är fel?
563.2,564.3,så eh
564.7,567.6,det är ju därför eh det kanske
568.1,570.9,kan vara viktigt att ha också en människa där
571.5,574.3,som kan assistera ain för att säga
576.7,577.4,okej
577.6,582.3,det här är enligt lagen stämmer det här men det kanske känns jobbigt
583.2,584.1,att säga så
586.985,587.545,vad tycker du?
