start_time_sec,end_time_sec,annotation
1.1,1.5,Nej
4.799,8.0,Det är vi som ska prata om tre etiska dilemman idag
11.3,12.099,Hej Selma
17.199,18.8,Jag heter Katarina
25.0,26.399,Jag har ingen vetskap om
26.6,29.899,Vilket dilemma vi ska prata om Skulle du vilja berätta det för mig
49.299,50.299,Jag tror jag förstår
55.5,56.1,Hm
59.5,60.299,Jag tror att
60.7,63.899,Robotdomare skulle kunna vara användbara i en rättsprocess
68.5,71.9,Robotar är oftare snabbare än vad människor är
79.4,81.599,Självklart är det viktigt att det blir ett bra beslut
88.099,89.0,Jag tror det
98.299,105.7,En robot skulle kunna gå igenom vittnesmål mycket snabbare och gå igenom olika evidens till exempel telefonsamtal
113.799,115.099,Oj vilken svår fråga
115.299,116.5,Jag vet inte
147.0,150.4,Jag håller med dig om de tränar på alla domar som finns idag
152.5,155.599,Så kommer de såklart att ärva det jäv som
155.8,157.099,Finns redan
157.599,160.099,Men om man skulle träna robotarna så att
161.5,163.3,De får balanserade data
164.3,167.8,så skulle de eventuellt kunna minska det jävet
178.3,179.8,Ja det är en bra fråga
191.9,192.8,Jag vet inte
203.099,205.5,Det kanske inte finns jag har inte funderat på det
233.5,235.199,Jag tycker att det var ett bra exempel
235.9,238.0,Kanske skulle robotar vara sämre på att
239.8,241.199,Göra skillnad mellan sådana fall
257.899,258.5,Hmmm
260.399,262.6,Du har väldigt bra frågor men jag vet inte
313.1,314.699,Nej aldrig Har du
361.199,361.8,Hm
367.3,370.5,Jag tycker faktiskt att man ska ha sånt i åtanke alltså
371.199,372.5,situationer runtomkring
400.399,400.8,Ja
401.199,401.699,Det blir
402.1,404.1,så klart lite mer komplicerat
404.8,405.8,Man ska börja
406.5,410.1,Relativisera samma brott beroende på omständigheterna
426.899,429.0,Det finns brott som är väldigt hemska som
429.3,432.899,är svårare att motivera och kanske omöjliga till och med
436.6,438.3,Till exempel sexuella övergrepp
498.6,501.5,Om man gör det i självförsvar då kanske det inte kallas för mord
525.1,526.6,Hemdaktion
533.1,535.7,Det är svårt att föreställa sig ännu men om någon skulle
535.899,537.299,Berätta ett scenario
538.2,541.6,Där man började sympatisera med den som begått mordet så kanske det skulle
542.0,543.2,att berättiga det
552.7,553.5,Precis
562.2,564.2,Jag vet inte Det är svårt att säga
572.0,573.7,Det skulle vara som att
575.899,577.5,Godkänna dödsstraff
