start_time_sec,end_time_sec,annotation
1.5,2.2,Hej igen
4.099,5.9,Vill du berätta om nästa dilemma
20.1,24.1,Oj är det gentest för att se om du har anlag till någon psykisk sjukdom
26.3,27.1,Okej
33.5,34.899,Nej det förstår jag
35.6,38.0,Det är lite speciellt att det är första dejten
48.1,48.7,Mm
50.0,50.5,Mm
65.9,66.4,Mm
68.799,69.5,Hur menar du
85.2,90.0,Okej det finns andra saker att fokusera på som är viktigare i ett förhållande
91.0,91.7,Hm
95.5,96.599,Ja jättegärna
103.299,104.099,Mmhmm
109.799,110.299,Vadå
116.599,117.4,Okej
126.4,127.0,Mm
131.599,132.3,Mhm
147.5,148.099,Hmmm
159.599,160.199,Okej
169.5,171.0,Vilken är rätta vägen
173.099,173.699,Mmhmm
179.699,181.199,Okej erkänner inte till den
191.199,191.8,Mmhm
199.5,200.5,Ja ja ja Nadja
214.599,215.099,Hmm
217.699,218.3,Mm
233.4,234.099,Mm
237.199,238.199,Det är sant
244.599,249.699,Just det det är problem att lagra så mycket data på människors DNA
260.5,261.3,Ja så är det
267.3,267.899,Mmhm
271.899,272.699,Mm
280.3,280.899,Mmhmm
284.3,284.899,Mm
293.0,293.699,Hm
298.399,300.3,Nej det låter inte särskilt etiskt
307.3,308.5,Nej precis
309.399,315.6,Men också att det skulle vara svårt att avgöra om någon kommer bli en bra anställd baserat på deras DNA
324.699,326.1,Ja jag förstår
343.1,343.8,Eller hur
350.8,351.6,Mhm
366.5,367.0,Hm
368.8,369.3,Ja
371.5,371.899,Ja
380.1,381.0,Hmm
384.899,385.5,Ja
387.899,389.1,Jag ber om ursäkt
393.199,395.699,Några tankar om det här dilemmat
399.0,399.6,Ja
400.6,406.5,Ja jag tycker också att det är lite speciellt att be om DNAtest när man ska gå på dejt
407.6,410.8,Jag kan ändå tänka mig situationer
411.5,414.3,att någon skulle vilja det
415.699,416.6,men
417.5,419.399,Jag vet inte om jag håller med om det
430.6,432.699,Vet du vad jag tror inte det
445.6,446.0,Ja
458.5,459.0,Nej
465.1,465.6,Okej
466.199,466.6,Ja
483.0,483.5,Mm
487.199,487.6,Hm
490.3,490.8,Hm
493.5,494.0,Mm
496.199,496.899,Men
498.699,499.399,Ingen fara
499.699,501.5,Men för människor som
502.5,504.199,Tycker att det här spelar någon roll
505.0,508.8,Av någon som helst anledning Skulle du tycka att det var okej för dem att göra det
517.1,517.5,Men
521.6,522.1,Hm
535.299,536.2,Nej precis
545.5,546.0,Nej
553.6,554.2,Hmm
558.0,558.6,Ja
559.2,560.299,Jag kan tänka mig
560.799,566.299,En situation där en person kanske har någon ärftlig sjukdom själv
567.799,574.399,Tänk dig att den här personen är lite äldre och vet att den nästa person som den dejtar vill den skaffa barn med
576.5,577.5,och
577.7,583.6,Den här personen kanske inte vill slösa mer tid på att fortsätta bara dejta runt
585.299,587.1,Då kanske den personen
589.2,597.1,Ja skulle vilja säkerställa att den personen som de dejtar nästa gång inte har samma ärftliga sjukdom ifall det skulle medföra mer komplikationer
