start_time_sec,end_time_sec,annotation
0.1,0.9,hej igen
2.3,3.0,hej
6.6,7.8,precis
9.1,10.2,du får jättegärna berätta
17.1,18.0,aha
51.5,52.7,mhm
58.2,59.5,ja vadå då?
73.1,73.8,just det
86.5,88.5,jaha hur menar du med bra jobb?
100.6,101.4,ah
107.2,108.0,det är bra
119.8,120.3,nej
133.4,135.6,aha ja
144.9,145.7,nej
148.4,149.1,nej
166.1,171.7,jag menar du då att han skulle träna på lagboken i sig eller på tidigare fall
174.4,175.2,ja
176.4,177.1,ja
199.4,199.92,mhm
212.0,216.3,ja men hur var den hur var den sexistisk och rasistisk?
226.9,227.9,ah
232.3,234.1,ja just ja
235.5,249.1,janu när du säger det kommer nog det känns som att jag har hört någon gång om att det har varit någon har varit någon typ av ansiktsigenkänningprogram som har nyttjats
249.3,261.61,att att det hade då det var liksom större chans att den här AIn skulle klassa någon bara random svart person som den personen som står åtalad för att den har svårt att skilja
267.0,267.8,mhm
270.8,272.1,ja
272.8,277.9,och det måste ju vara för att han har tränat på vita personen mest då eller
281.0,281.7,ja
282.8,283.6,ja
296.5,297.41,vilket var det?
308.4,309.6,ah
310.6,312.4,oj okej ja
319.4,320.1,ja
337.8,342.6,ja för du menar att det skulle kunna gå lite snabbare då om man har
347.4,347.9,ja
359.7,360.4,ja
373.0,375.4,ja ja absolut
376.9,377.6,mhm
382.2,384.8,nej precis ja men det är som du säger det kommer nog
385.4,389.8,om man inte skulle ha någon slags övervakning på en där AIn då skulle det nog bli
390.5,392.8,det skulle kunna bli väldigt tokigt
396.1,397.1,ja
423.3,424.1,ja
426.7,428.78,vad tänker du för kontrollsystem då?
448.3,448.89,aha
455.8,456.28,nej
477.33,478.03,jaha
496.8,499.41,men hur ska man validera den då tänker du?
509.0,509.67,just ja
511.4,514.81,det känns som att det skulle krävas att man har facit på hand
515.4,515.95,eller
531.8,532.3,mhm
537.0,538.9,vad ska det vara ett svårt fall då?
548.0,548.4,mhm
571.8,572.29,mhm
573.5,573.94,mhm
